 1       6.864398
 2      17.434189
 3      35.263851
 4      61.732525
 5      89.316292
 6     129.202820
 7     173.503448
 8     220.589905
 9     278.141663
 10    342.089539
 11    409.997101
 12    485.486603
 13    568.908447
 14    654.611511
 15    751.323730
 16    852.245239
 17    958.484253
 18   1074.430054
 19   1195.443237
 20   1320.929688
 21   1454.129761
 22   1595.513428
 23   1741.827148
 24   1893.367432
 25   2049.815674
 26   2215.514648
 27   2388.539062
 28   2567.911133
 29   2750.510986
 30   2943.086426
 31   3137.525391
 32   3340.161865
 33   3551.370605
 34   3766.778076
 35   3992.398682
 36   4219.491211
 37   4455.091309
 38   4696.932617
 39   4945.589844
 40   5199.816895
 41   5461.281738
 42   5729.719238
 43   6004.933105
 44   6283.801270
 45   6569.319336
 46   6863.450195
 47   7162.472656
 48   7469.306641
 49   7782.401367
 50   8100.920898
 51   8427.906250
 52   8758.636719
 53   9097.106445
 54   9439.528320
 55   9792.735352
 56  10148.204102
 57  10512.294922
 58  10881.456055
 59  11258.036133
 60  11639.750977
 61  12029.284180
 62  12427.061523
 63  12827.543945
 64  13237.060547
 65  13650.910156
 66  14072.865234
 67  14498.343750
 68  14935.143555
 69  15375.777344
 70  15821.908203
 71  16273.015625
 72  16732.582031
 73  17201.619141
 74  17671.222656
 75  18152.421875
 76  18636.632812
 77  19127.609375
 78  19627.283203
 79  20130.132812
 80  20642.634766
 81  21158.230469
 82  21681.492188
 83  22213.892578
 84  22749.689453
 85  23290.076172
 86  23841.929688
 87  24397.501953
 88  24957.466797
 89  25525.685547
 90  26099.863281
 91  26682.554688
 92  27269.474609
 93  27862.898438
 94  28464.330078
 95  29069.578125
 96  29684.353516
 97  30304.244141
 98  30930.257812
 99  31563.466797
 100 32201.781250
